penguin_name,num_images,selected
Medici,291,True
Ron_burgundy,190,True
Cooper,127,True
Kermit,69,True
Parky,67,True
Phineas,66,True
Heathcliffe,64,True
Tang,63,True
McVitie,54,True
Nicki,53,True
Gonzo,52,True
Rainbow,46,True
Dragon,46,True
Swiftie,43,True
Ziggy,41,True
Courtney,38,True
Olive,38,True
Spider,37,True
Not Tiki,31,True
Danny,31,True
Nik_nak,30,True
Bud,29,True
Snorkel,28,True
Chompy,28,True
Patrick,28,True
Lenny,27,True
Pong,27,True
Lannister,26,True
Beaker,25,True
Robin,24,True
Calypso,23,True
Ellis,22,True
Jaz,22,True
Peapod,22,True
Ping,22,True
Laura,20,True
Hanbury,19,True
Greyjoy,19,True
Ernest,19,True
Beau,19,True
Bob,18,True
Coco,18,True
Egg,17,True
Lucy,17,True
Puddle,15,False
Therese,15,False
Summer,14,False
Lizzie,14,False
Piggy,14,False
Stark,13,False
Petal,13,False
Toogie,12,False
Luke,12,False
Karen,12,False
Ray,12,False
Solyom,11,False
Sean,11,False
Groot,10,False
Pepe,10,False
Cricket,9,False
Tiki,9,False
Echo,8,False
Polka,8,False
Trixie,8,False
Jack,8,False
Lars,8,False
Heligan,7,False
Goose,6,False
Shiraz,6,False
Felix,6,False
Stella,5,False
Bilby,5,False
Ronnie,5,False
Millipede,5,False
Dua_Flipa,4,False
Marley,4,False
Lord,3,False
Gopher,3,False
Newt,3,False
Skunk,2,False
Smew,1,False
