epoch,train_loss,train_accuracy,val_loss,val_accuracy,lr
1,2.2092562082201934,0.3946220930232558,2.4779726823170978,0.3233333333333333,0.0003
2,0.7143841877926228,0.7659883720930233,1.7278802188237508,0.4666666666666667,0.0003
3,0.3245176582835441,0.8815406976744186,1.3097501707077026,0.5433333333333333,0.0003
4,0.13535631188126498,0.936046511627907,1.068188983599345,0.6166666666666667,0.0003
5,0.09402142733682034,0.9549418604651163,0.9716536871592204,0.7133333333333334,0.0003
6,0.06048429159577503,0.9665697674418605,0.8406104966004689,0.76,0.0003
7,0.04373659652679465,0.9760174418604651,0.7996837810675304,0.7933333333333333,0.0003
8,0.034191342590506685,0.9861918604651163,0.7843597477674484,0.8166666666666667,0.0003
9,0.023136031304940928,0.9898255813953488,0.698800943295161,0.85,0.0003
10,0.01525818743894613,0.9963662790697675,0.6683769047260284,0.85,0.0003
11,0.011057975171350463,0.997093023255814,0.6253163675467174,0.85,0.0003
12,0.00925870887328719,0.9978197674418605,0.6087246729930242,0.8633333333333333,0.0003
13,0.007521482520238604,0.997093023255814,0.5802595827976863,0.8766666666666667,0.0003
14,0.006878021692987098,0.9978197674418605,0.6057717303435007,0.8766666666666667,0.0003
15,0.006304936645942372,0.997093023255814,0.5903533573945363,0.8633333333333333,0.0003
16,0.004492195241889635,0.998546511627907,0.5554321930805842,0.87,0.0003
17,0.003484346703517922,0.9992732558139535,0.554653987288475,0.88,0.0003
18,0.0029695224948227406,0.9992732558139535,0.5779156694809596,0.88,0.0003
19,0.002747764819041761,0.9992732558139535,0.5721543101469676,0.8733333333333333,0.0003
20,0.002406287331913793,1.0,0.5280352197090785,0.8933333333333333,0.0003
21,0.0024882540361262683,0.9992732558139535,0.5267736379305522,0.9066666666666666,0.0003
22,0.0020809652145713743,1.0,0.5434392348925272,0.8833333333333333,0.0003
23,0.002281838180605582,0.9978197674418605,0.543007483681043,0.9,0.0003
24,0.002218783968453144,0.9992732558139535,0.5157253338893255,0.8933333333333333,0.0003
25,0.002143154171198,0.9978197674418605,0.5661267729600271,0.8833333333333333,0.00015
26,0.0017443701048208357,1.0,0.538626254995664,0.8966666666666666,0.00015
27,0.0014859908571748367,1.0,0.5075528689225515,0.8966666666666666,0.00015
28,0.001450710002668635,1.0,0.519849338332812,0.8966666666666666,0.00015
29,0.0021788896139992705,0.9992732558139535,0.5221771937608719,0.8966666666666666,7.5e-05
